tag,x,y
yellow,5.108230720354353,-2.0034897337304542
yellow,6.096152170796511,-2.4527937148287604
yellow,7.117050602336171,-2.931042052039907
yellow,7.99331940606393,-3.952691580855978
yellow,8.522666573627157,-5.3442512495655325
yellow,8.937436416146909,-6.782336140114061
yellow,10.091665702733465,-7.9419486389604295
yellow,12.170632528152256,-8.569999305310416
yellow,14.811756816526596,-8.070045143327375
yellow,17.54667973242898,-7.478267646350247
yellow,19.72840829425381,-6.4082074249746785
yellow,21.193193698083146,-4.7907430109902664
yellow,22.25244661889156,-3.5063914812990933
yellow,23.007103066051453,-2.1796530678642987
yellow,23.67962634333316,-0.4540837046513448
yellow,24.287082185329176,1.1034364837132262
yellow,24.55067308980838,3.1558079637868772
yellow,24.52175817701454,5.77792621193351
yellow,24.10747716406054,8.20373316034032
yellow,22.988933155742735,10.369064208119006
yellow,21.902132020885507,11.879809793727196
yellow,20.473816744907086,13.158658905871738
yellow,18.973867134767378,14.420059056602781
yellow,16.473065661620293,14.28136549107889
yellow,13.521792118405763,14.030613387977255
yellow,11.302823550348007,13.595496527329757
yellow,9.894189855877235,12.794086044899561
yellow,8.86115898133351,11.844793417476406
yellow,8.299853906189222,10.680796605214232
yellow,8.042713273260595,9.36238499525399
yellow,7.543238669066342,8.290664061597628
yellow,6.512340358017483,7.291295016333289
yellow,5.129345996265017,7.0662056758804335
yellow,2.429376462805198,7.074505419944569
yellow,1.589505210403423,7.334207083554599
yellow,0.712052011582489,7.8588374528121285
yellow,-0.1130738919589362,8.411578517489353
yellow,-1.4995180365496996,9.224846478630678
yellow,-3.0762628129874963,9.880147729325527
yellow,-5.0516151667660525,9.97283570622303
yellow,-6.250665821579251,9.815566384812964
yellow,-7.773639357440816,9.30164620544454
yellow,-8.949799376212045,7.884545035164269
yellow,-9.64289918680881,6.35295416465792
yellow,-9.881685603404424,4.5809123471928626
yellow,-9.736444548224682,3.117147570873862
yellow,-10.21610396374014,0.8454799766648938
yellow,-11.018213319672482,-0.27872526448195656
yellow,-12.287660001886048,-1.2283961505822862
yellow,-13.312115889608311,-1.785516220794974
yellow,-14.646204464141563,-2.683939399093564
yellow,-15.866382651860638,-3.9764249312163695
yellow,-16.440599362522033,-6.0125212660794825
yellow,-16.143405833349497,-7.699058760817485
yellow,-15.265037443831087,-9.388596946609766
